datetime,mav_roll,mav_pitch,mav_tilt,mav_wind_dir,sonic_wind_dir,sonic_wind,mav_acc_x,mav_acc_y,mav_acc_z
2020-03-26 17:56:05+00:00,1.1539562360294036,3.5484610894629434,3.7311510417661773,162.00479873730222,125.63206252477279,3.7134735443745535,0.05529077130434783,-0.04343441382608695,-0.04343441382608695
2020-03-26 17:56:06+00:00,2.3102473771681584,3.2927042919070972,4.0216000443992215,144.96057003825734,132.9735782032925,3.37484046670539,0.058797327966666674,-0.04850310086666667,-0.04850310086666667
2020-03-26 17:56:07+00:00,5.367128034760984,3.1397699948721067,6.2157350147342045,120.27948030170961,120.41677601220043,3.9073068267250095,0.05731582558620689,-0.059461849448275865,-0.059461849448275865
2020-03-26 17:56:08+00:00,5.290944031491727,3.0864236087406502,6.123152877015943,120.20989069889134,122.91470676654622,4.8136649532372005,0.05821593396551725,-0.062442894034482756,-0.062442894034482756
2020-03-26 17:56:09+00:00,2.8473146946570123,3.745717657715868,4.703833197323193,142.77627327321622,123.0459296647956,4.9865893521420235,0.0610124362413793,-0.058783428,-0.058783428
2020-03-26 17:56:10+00:00,0.06709534117012692,3.217923225437448,3.2186219000156773,178.80678211236014,125.43733502326002,4.938082885217762,0.04625699553333333,-0.05484859613333334,-0.05484859613333334
2020-03-26 17:56:11+00:00,4.24674529897612,2.7716089815490363,5.069771924184495,123.10258596041194,119.96633442990108,5.3952625163385095,0.052901361466666665,-0.055047722733333325,-0.055047722733333325
2020-03-26 17:56:12+00:00,6.64200033465742,3.260828165820524,7.3960452317006204,116.07101889265292,143.91355120908673,5.294899504875994,0.0565069986,-0.05772764456666667,-0.05772764456666667
2020-03-26 17:56:13+00:00,4.42533203406189,3.2360982370125453,5.480425027934613,126.15145702507664,151.24967114310903,5.415151990499928,0.04393656565517243,-0.07191075806896553,-0.07191075806896553
2020-03-26 17:56:14+00:00,-2.7793294404289823,1.8878599328515033,3.3594480446875497,235.8249457684742,154.40394630327586,4.408875344521495,0.039486418689655176,-0.04716613662068964,-0.04716613662068964
2020-03-26 17:56:15+00:00,2.7154388760543022,2.858808315652618,3.942115206179732,136.47564479434345,137.12384186089562,4.26146434804776,0.05682025606896552,-0.050302212068965506,-0.050302212068965506
2020-03-26 17:56:16+00:00,6.117089170658648,4.316952691688426,7.482243821434127,125.15971975476126,147.44369396213418,3.4978949592884385,0.09650528800000001,-0.058668677100000004,-0.058668677100000004
2020-03-26 17:56:17+00:00,2.3822251519544526,5.932719093581542,6.391545498964248,158.18205486673685,144.933355860619,2.9435108737819813,0.09526593013793103,-0.07104366810344827,-0.07104366810344827
2020-03-26 17:56:18+00:00,2.199343499074531,6.2444183128288975,6.618965425041403,160.65962513851622,139.4449181002276,3.334893656660028,0.10272589203333336,-0.06012802870000001,-0.06012802870000001
