index,solo_roll,solo_pitch,solo_tilt,solo_acc_x,solo_acc_y,solo_acc_z,solo_dir,sonic_wspd,sonic_wdir
0,2.52,4.266666666666667,4.954099323445928,0.7954199000000001,-0.4268097,-9.919105666666667,149.46308095287498,4.89150554408182,162.05236683378152
1,2.585,4.035,4.790866092523724,0.7060027,-0.45665445,-9.9867955,147.37997542950484,5.213277622206346,163.92360171363163
2,2.733333333333333,4.073333333333333,4.9041372849871285,0.8067332666666666,-0.3472832333333334,-9.887735333333334,146.16174984688314,4.998532406911238,165.4224607663825
3,1.79,4.08,4.454781930746097,0.6753601,-0.40315500000000004,-9.7415375,156.34051330491002,5.002262690758846,164.91786294740518
4,2.723333333333333,3.956666666666667,4.802078775758448,0.7634069666666666,-0.4037697333333334,-9.770671666666667,145.48317850645742,4.598931677886948,161.23642858344206
5,1.9250000000000003,4.62,5.004197212490058,0.7445253000000001,-0.4566353999999999,-9.7444885,157.4166094950563,4.657278794399293,164.47922511859466
6,2.0533333333333332,4.54,4.981862037006052,0.8202300333333333,-0.39643663333333334,-9.902195,155.6997567917706,4.750385118981671,163.34314700468667
7,2.99,3.49,4.594468252961982,0.6114344,-0.37296189999999996,-9.758433499999999,139.4215550590038,4.8759679161093334,167.04632929318208
8,2.013333333333333,3.526666666666667,4.060266995359199,0.7190646333333334,-0.3934722666666666,-9.751057333333334,150.29947327253066,5.0981805123565405,166.034992640516
9,1.7149999999999999,4.0649999999999995,4.41140715620897,0.6830433499999999,-0.46219335,-9.877998999999999,157.15372724979431,5.3201761439269175,171.24466320662412
10,2.1733333333333333,5.116666666666666,5.557975477523721,0.8123716666666666,-0.3442629666666666,-9.853684333333334,157.03134832627399,5.508909515031764,161.49005247602778
11,2.6,4.61,5.291266782251533,0.8655412,-0.44171669999999996,-9.7846335,150.61351286946356,5.4150868957380975,162.28787726753006
12,2.9966666666666666,4.433333333333333,5.3494414443276685,0.8050590666666667,-0.46099266666666666,-9.759264666666667,145.97253751189763,5.197686515812855,161.0014816357141
13,2.06,4.300000000000001,4.767140561920734,0.709479,-0.43227134999999994,-9.8265135,154.43465993056552,5.280308249526457,167.16614627554185
14,2.44,3.9333333333333336,4.627672675581211,0.7767455333333334,-0.47699716666666675,-9.771071,148.21189601414997,5.035083094571642,164.75407919950163
15,2.75,3.795,4.685452048567039,0.7408403,-0.49445409999999995,-9.757079000000001,144.09043130460344,4.94414248737687,162.68574374380484
16,2.7099999999999995,4.546666666666667,5.291583267931179,0.8007409999999999,-0.47221106666666657,-9.742423,149.2374808442231,4.7973038944576,163.12856761567284
17,2.49,4.625,5.2514046620356245,0.7260586,-0.4795822,-9.7474775,151.73988216480092,4.699302929547603,160.7961574523904
18,2.68,4.173333333333333,4.958467792534443,0.7840708666666667,-0.5223102,-9.925476,147.31965088278764,4.512381549228384,159.17961977038416
19,3.45,4.145,5.390987689742743,0.7662577,-0.416273,-9.771504499999999,140.24356649916575,4.349355297826717,157.59720655116953
20,2.12,4.836666666666667,5.279873357162906,0.6860653666666666,-0.4147583666666666,-9.788555,156.37175651442624,4.292903169077704,154.03025508411022
21,2.235,4.24,4.792045733432398,0.6219775,-0.39333205,-9.942896000000001,152.23646538536136,4.287021337413752,161.4264427879983
22,2.3466666666666662,4.21,4.818820307490355,0.7252670999999999,-0.34863873333333334,-9.988313333333332,150.8948401876591,4.236248267896013,158.85129900558638
23,1.44,4.78,4.991711810362756,0.76008235,-0.35892565,-9.941199,163.26820838190298,4.343963761452642,158.21352944417524
