index,mav_roll,mav_pitch,mav_tilt,mav_acc_x,mav_acc_y,mav_acc_z,mav_dir,sonic_wspd,sonic_wdir
0,2.171723483446362,5.056454332673592,5.501987045814282,0.09061839993333333,-0.03685858696666666,-0.9862963350000002,156.80075318454217,4.89150554408182,162.05236683378152
1,2.062102244605191,5.418119805351716,5.796171507639927,0.09568774313333334,-0.033277285766666664,-0.9829027076666667,159.21211256639063,5.213277622206346,163.92360171363163
2,1.8188128673143875,5.834556991234239,6.110539430944972,0.09831506513333334,-0.036174244700000004,-0.9876473850000002,162.7369908807242,4.998532406911238,165.4224607663825
3,2.42710028547079,5.414266979645264,5.931909969652759,0.09398311103448277,-0.03962283696551724,-0.9841850937931034,155.90527843262177,5.002262690758846,164.91786294740518
4,2.285226687085946,5.380640905749477,5.844501268859366,0.09239072813333334,-0.0403073822,-0.9853583223333331,157.03820160403683,4.598931677886948,161.23642858344206
5,2.3601537936006007,4.756238264039592,5.308420292009148,0.0873517074,-0.03650313176666666,-0.9921496873333333,153.64790336913128,4.657278794399293,164.47922511859466
6,1.0696939751223924,5.996525229595973,6.090843869095068,0.1015016887586207,-0.017314658479310345,-0.9786307186206894,169.92069505045365,4.750385118981671,163.34314700468667
7,0.4780749670850498,5.541824171073995,5.56234281838935,0.09475139629629628,-0.013989980908518518,-0.9876452600000001,175.0846841581091,4.8759679161093334,167.04632929318208
8,1.5641619709472152,5.074341770681723,5.30934522392521,0.09191946241379309,-0.02485998069310344,-0.9870718644827585,162.9063274198409,5.0981805123565405,166.034992640516
9,1.4199882075451553,5.469941899798612,5.650708012483919,0.0983680927,-0.02741608331666667,-0.9859642256666667,165.48686130379662,5.3201761439269175,171.24466320662412
10,1.664499777979461,5.786690798499159,6.020541731176513,0.09895822051724142,-0.03259040006896551,-0.9781550020689654,164.00003324807446,5.508909515031764,161.49005247602778
11,2.2262355435565135,6.205593576971903,6.591367060644366,0.11089113589999999,-0.03411963606666666,-0.9841079626666668,160.32687900275292,5.4150868957380975,162.28787726753006
12,2.1073136660516565,6.712805343122244,7.034357620052088,0.11022443382758622,-0.0348654888275862,-0.9871647727586208,162.63930810701868,5.197686515812855,161.0014816357141
13,2.0668884213881564,6.0531771112662565,6.395081987837825,0.10683075190000002,-0.038245029300000004,-0.9842332289999999,161.204945582425,5.280308249526457,167.16614627554185
14,2.286502282820904,6.137820613812932,6.548352333626413,0.10677006500000001,-0.036893786233333344,-0.9808979906666668,159.6301515131324,5.035083094571642,164.75407919950163
15,2.1704996208746525,5.856292756680336,6.244262535476342,0.10148984053333333,-0.03561508896666666,-0.9830086913333332,159.72011852869596,4.94414248737687,162.68574374380484
16,2.0355244970771897,5.1220480541873625,5.510688873973712,0.0869589535172414,-0.038273244379310345,-0.9868427237931034,158.37107859133855,4.7973038944576,163.12856761567284
17,2.228095640948238,4.385749838877603,4.918283354202776,0.07904871006896552,-0.03561286265517241,-0.9861425913793103,153.10159984909956,4.699302929547603,160.7961574523904
18,1.5740568965896895,4.54884299157777,4.812942920935789,0.08112484970000002,-0.0314642941,-0.9845116600000001,160.94538848739302,4.512381549228384,159.17961977038416
19,1.880417405195653,4.715140622465131,5.075483638892206,0.0820978295862069,-0.03537303351724138,-0.9862532237931034,158.29515310724364,4.349355297826717,157.59720655116953
20,2.3578817724340895,4.96426002466208,5.4945030353158355,0.09078155353333334,-0.02316499328533333,-0.9849696233333334,154.63671077623275,4.292903169077704,154.03025508411022
21,0.043792359809825335,5.829961632268866,5.830125537362038,0.09860620465517242,-0.02462506977586207,-0.9905616927586207,179.57111109990845,4.287021337413752,161.4264427879983
22,2.1776017170927426,5.529371387581491,5.941478390170203,0.09752589403333332,-0.03747877406666667,-0.981529795,158.55558458673764,4.236248267896013,158.85129900558638
23,2.816803720727442,6.278849353205209,6.87942874908068,0.10174112099999999,-0.030761429310344823,-0.9846741910344827,155.90672039175928,4.343963761452642,158.21352944417524
24,1.4770605397379062,5.407150956211505,5.60468627738182,0.095735605,-0.031908157933333334,-0.9844509680000001,164.7614348378217,4.385400106728863,157.8507284239498
25,1.3952013652413529,5.329509148554823,5.508596648108718,0.095978765,-0.02504013726666667,-0.9873517623333333,165.36761684855378,4.437396253848666,164.58729194123276
26,1.3096472635738001,5.688195125935161,5.836531579621042,0.10144490146666668,-0.023750802666666668,-0.9849754156666666,167.07321860803788,4.148689636953837,160.38344552440466
27,1.3264991134565423,6.148641912010604,6.2895657347391145,0.10172441937931034,-0.024647532206896552,-0.9830712962068966,167.8689592412255,3.89130963236137,170.19821877346607
28,1.3538866769415643,5.610035287887806,5.770584317995527,0.09847711776666662,-0.022502696299999996,-0.9873766246666664,166.47143720243326,3.92771312260561,172.50084796368012
29,1.1399465127813946,5.288034854019592,5.409168029854905,0.09455828509999999,-0.0247636776,-0.985644062,167.86684001815692,3.7272562455431117,165.46499472328068
30,1.8276435992960838,5.320931447742992,5.625209663244565,0.09280918949999999,-0.022009667125000004,-0.9839185404166666,161.08802272016968,3.645779880360421,170.99450244811126
31,0.5452810597442463,5.309554836943754,5.337401276684656,0.09140449748275863,-0.010001746462068965,-0.9847246406896553,174.15289291865722,3.664681550246522,172.7407574689146
32,-0.5108325901194082,4.878251880968792,4.9048609044122795,0.0871492344,0.003067646175714286,-0.9895601985714287,185.9638252395139,3.797741743749771,168.66779295055883
33,-0.17735827558588296,4.548789963970603,4.552239007078224,0.0782271516,0.0041489875666666665,-0.9884721813333334,182.2281621229059,3.599636086410778,174.4088939986021
