index,windspeed
0,4.89150554408182
1,5.213277622206346
2,4.998532406911238
3,5.002262690758846
4,4.598931677886948
5,4.657278794399293
6,4.750385118981671
7,4.8759679161093334
8,5.0981805123565405
9,5.3201761439269175
10,5.508909515031764
11,5.4150868957380975
12,5.197686515812855
13,5.280308249526457
14,5.035083094571642
15,4.94414248737687
16,4.7973038944576
17,4.699302929547603
18,4.512381549228384
19,4.349355297826717
20,4.292903169077704
21,4.287021337413752
22,4.236248267896013
23,4.343963761452642
24,4.385400106728863
25,4.437396253848666
26,4.148689636953837
27,3.89130963236137
28,3.92771312260561
29,3.7272562455431117
30,3.645779880360421
31,3.664681550246522
32,3.797741743749771
33,3.599636086410778
34,3.4246826427166144
35,3.403706877262754
36,3.8959414310492124
37,3.9811651435980884
38,3.3280379851374513
39,2.8535882095098337
40,3.0749620523974377
41,2.645507977816179
42,2.2957465665698935
43,2.3949051654532982
44,2.4248385194036093
45,2.2372289426620147
46,2.515938980812072
47,2.329745648782221
48,2.8082335089229957
49,3.0068708994163678
50,3.1359369195271554
51,2.6725532145516664
52,3.045111937328948
53,3.25029813527491
54,3.6046970759277963
55,4.281855876117343
56,4.251384184274771
57,3.8264589215257425
58,3.5276884473309895
59,3.743698324483136
60,4.061052144420572
61,4.950138672161186
62,5.193352746998589
63,4.759365091742087
64,5.384506812457646
65,5.394438831643435
66,5.1001208788526275
67,4.866287292915206
68,4.703890665316236
69,4.664929235797183
70,4.635264610110403
71,4.559951028989073
72,4.4439325176802
73,4.3824986450166925
74,4.187261473745286
75,4.387833747502455
76,4.468615754799406
77,4.511191025318573
78,4.041469724332865
79,3.383781848168421
80,3.8861401619305616
81,3.541760198501219
82,3.5001910531604166
83,3.3685184632764233
84,2.9744869916873373
85,3.9679559585021074
86,3.9109759987812946
87,4.225533690570509
88,4.439357199187407
89,4.994850750683577
90,5.013045602642975
91,5.051578980269483
92,5.034661297334437
93,4.916077554020253
94,4.899713557737855
95,4.907596748930702
96,5.0457088417349185
97,4.84442941005026
98,5.063174329743281
99,4.812255813027516
100,4.718770238704911
101,4.491298681063059
102,4.609144429129308
103,4.659547899573273
104,4.338425477551385
105,4.641578321189952
106,4.654011728415127
107,4.433013810568976
108,5.0963670408790795
109,5.251959016464201
110,5.0482290644793615
111,5.289687034072726
112,5.377881579691162
113,4.524799492461742
114,3.85243260832417
115,4.263967368368093
116,4.822875595733553
117,5.047715541172992
118,5.3759419972361995
119,5.0519719958984375
120,4.956544429998051
121,4.953095649222755
122,5.073969268446759
123,4.978502561339298
124,5.05519319704651
125,5.045211968213229
126,5.059951489214836
127,4.967555745155112
128,5.118039401872603
129,5.064057399303861
130,4.968557910793821
131,4.721265457742999
132,4.76286948441741
133,4.95001033464997
134,5.218547269730211
135,5.096212461986956
136,5.143128210965454
137,5.1237033054716115
138,4.789436739468687
139,4.804896558140772
140,4.642602156213293
141,4.709854450147983
142,4.471006437671511
143,4.686244644269502
144,4.556845779419977
145,4.246888918737255
146,4.02056736227777
147,3.9764120769500035
148,3.9617116564863815
149,4.175364666872181
150,4.950984954680401
151,4.695350969206611
152,4.646479958488346
153,4.242186279066025
154,3.9000784681861926
155,3.922486889751814
156,3.796315698700645
157,4.070064322862377
158,3.707101033035823
159,3.1590294656175932
160,2.573362259906077
161,2.838606488695244
162,3.206282197676278
163,3.2848426110347524
164,3.633849051032838
165,2.922181992747487
166,3.439672261879588
167,4.035440339858944
168,3.864891328306602
169,3.591434346874527
170,4.147061087766573
171,4.055189085253761
172,3.829410432014766
173,3.5027854811845156
174,3.6494601023710453
175,3.700347470293833
176,3.7585385834243414
177,4.096151401725745
178,4.484931975887511
179,4.1331324607321385
180,3.929962479873834
181,3.9997691671173436
182,3.8354563310403487
183,3.986983215928718
184,3.8490413371002226
185,4.037503728214828
186,3.8154316202901746
187,4.513907067854997
188,3.351188984818547
189,3.9160378948974994
190,4.006858818073043
191,3.465354850457105
192,3.503506025102855
193,3.716317387191086
194,3.658185756537295
195,3.529638976670862
196,3.3154872237576387
197,3.835927635131929
198,3.8659697400197084
199,3.9410658342563796
200,4.046259353036073
201,3.426051627551788
202,3.302297070487887
203,3.1745490947721193
204,3.54301525478716
205,3.6817105492523954
206,3.663757341316692
207,3.723763238805422
208,4.0346295401727525
209,4.600580568317935
210,4.723100019710941
211,4.618420322107769
212,4.150786655102312
213,3.830110401808712
214,3.8161653166887968
215,3.719685294452409
216,3.7068195903279846
217,3.5622631339125235
218,3.2518525843780544
219,3.1982219697543854
220,3.282901333742765
221,3.4544023502150325
222,3.1453397011655886
223,3.268522903492859
224,3.319976838024326
225,2.9456219885275186
226,3.1718497633164002
227,2.9995894594125376
228,3.073184278123067
229,3.0296164324267987
230,2.8950324453224465
231,2.300133258036292
232,2.1444641838464578
233,2.3504251427699816
234,2.544926203964086
235,2.601785991113869
236,2.7367213517945856
237,2.5803586908958303
238,3.291655238472877
239,3.1860152980086607
240,3.186314782654871
241,3.171435994959205
242,2.870093023961237
243,3.830352979779767
244,3.491562651276427
245,3.4038890825749797
246,3.4839782854404766
247,3.626919008774612
248,3.7580347286856
249,3.8644994373628054
250,3.879106279443459
251,3.692507109158304
252,3.4294252606353806
253,3.4775950983655015
254,3.5480757526506235
255,3.365846709103485
256,3.1759662808814038
257,3.150778027064494
258,2.9295358143125694
259,2.749976642531001
260,2.8375399916064947
261,2.8687430539240384
262,2.8430584144849984
263,2.6884295040554376
264,2.6078327222791247
265,2.5874797072324234
266,2.9342194274640487
267,2.640575953778506
268,2.9137188433535735
269,2.4063531344052347
270,2.3571564286440654
271,2.7196706567962563
272,2.740737508256662
273,2.6932767582834143
274,2.5277356277345646
275,2.5880640182674557
276,2.872055275946508
277,2.5245111907062974
278,2.3988359809067603
279,2.485769022602952
280,3.155422200766823
281,2.704720707382035
282,2.6313397586907477
283,2.8181438578249898
284,2.5603452281693495
285,2.3443613811571993
286,2.019993620078119
287,2.224464626000808
288,2.1532109420526795
289,2.2618353704234524
290,2.210212311756303
291,2.399270185982808
292,2.677451986504371
293,2.7164503516400234
294,2.5541380305041583
295,2.5720069205809697
296,2.6071116509570285
297,2.40698974791893
298,2.1592837993008813
299,2.1775518258396174
300,2.4480456667573027
301,2.407311643271488
302,2.0343441255845316
303,1.7625934743669955
304,1.9345362064663918
305,2.205754707371478
306,2.165607605857703
307,2.5008075851024674
308,2.3567070765129605
309,2.4747924266135928
310,2.313750956236982
311,2.355791325943597
312,2.710406960059395
313,2.5511628734881535
314,2.501601961253319
315,2.233748561167084
316,2.0083298789459194
317,2.2405681429243653
318,2.275534053634702
319,2.4913836270014365
320,2.7864185777283943
321,2.815766438027193
322,2.6590043013348588
323,2.5617234357775764
324,2.6612853757711177
325,2.7538400252668196
326,2.414548865575289
327,2.2753691515410273
328,2.1931994706230853
329,2.1854593112403706
330,1.9245324991372381
331,1.8060253236112187
332,1.6542130696208668
333,1.6176131338903654
334,1.7096526854146321
335,1.8638225079627868
336,1.8880201205686002
337,1.9406134440579308
338,1.7291489585810462
339,1.7624152724026463
340,1.8306735563896137
341,2.346490456444091
342,2.0074758245083
343,1.9788355353874831
344,2.6672653324604614
345,2.4864627036526383
346,2.2536983162883315
347,2.3911811477801925
348,2.328492209633323
349,2.1769857287992154
350,2.0865941658402893
351,2.0234921182559056
352,2.0591407295142763
353,2.0947226831904326
354,1.893678183056475
355,1.9890214616812092
356,1.9207081431410569
357,1.877589387741402
358,1.7345203600605794
359,2.336267985267126
360,2.0553525623784084
361,2.1724110406792696
362,2.3573639735417675
363,2.574923676585674
364,2.5488161796168773
365,3.364342886385824
366,3.8552663209100544
367,4.0118453969358505
368,3.825914122393449
369,4.016954279872375
370,4.017061491866282
371,3.391214356563842
372,4.034752068904329
373,5.598851436492118
374,4.592290077231694
375,3.947247518045577
376,4.049358226785267
377,4.633382087930122
378,4.145730580476965
379,4.346980016991435
380,3.149172894212831
381,3.993154692975255
382,4.962176675885162
383,6.651866936702561
384,6.487953875813513
385,6.166687365134143
386,6.045585125851468
387,6.812569252850036
388,6.229832349741681
389,5.830996773151488
390,6.135741889699154
391,6.201844508629306
392,5.472936114423997
393,5.46497635418612
394,4.605903752266379
395,5.361799291497223
396,5.74228712067762
397,4.780318505463697
398,4.733863760849285
399,4.26178791362685
400,4.205027859723795
401,4.91403409251885
402,5.058288419865342
403,4.71525623183038
404,4.598043301810333
405,4.279322813639879
406,4.315502497442422
407,3.966151435239555
408,3.950968836573542
409,4.238127971636424
410,5.262335194541424
411,5.235754310552853
412,5.049829074091843
413,4.969561491572668
414,6.008564033862204
415,6.4092766808222175
416,6.464321473885407
417,4.334130976191168
418,4.436211512455012
419,4.550188528758536
420,3.6734759881632084
421,3.871568263756438
422,4.00869361907662
423,4.310665871620128
424,4.7263450097591635
425,5.243420862110778
426,5.229792732731162
427,4.862419997114803
428,5.228700090691978
429,4.861190362710405
430,4.575903856924581
431,4.45888426391272
432,4.602982806688349
433,4.849494051432867
434,4.451766738024442
435,3.792255781553225
436,3.6319810778029784
437,3.473173951229065
438,3.0634983953530157
439,3.041047916215854
440,3.679313216203464
