datetime,mav_roll,mav_pitch,mav_tilt,mav_wind,mav_wind_dir,sonic_wind_dir
2020-06-02 19:36:45,1.8800000000000001,4.25,4.646548707085099,1.9762085181171876,156.16895845222143,145.00588657553575
2020-06-02 19:36:46,2.11,4.659999999999999,5.114477292468568,2.3268810236143005,155.67725931182653,131.25427388185582
2020-06-02 19:36:47,1.18,4.8,4.94258443693761,2.7720892941397195,166.217883469427,121.27480548231705
2020-06-02 19:36:48,1.34,4.39,4.5895734808210165,2.6060909706327418,163.05416872489153,122.77801342186527
2020-06-02 19:36:49,2.77,4.6,5.368091336436991,2.4472310320804893,148.97948161859728,140.3849202692552
2020-06-02 19:36:50,2.3699999999999997,3.6,4.309234928282439,2.197254620601822,146.66140128183469,148.06180055552062
2020-06-02 19:36:51,2.58,4.0,4.7587373180003105,2.3954658500962087,147.20277948122165,156.35413980937312
2020-06-02 19:36:53,2.0300000000000002,1.89,2.773356284945838,2.3954658500962087,132.95299831592672,154.90489118314252
2020-06-02 19:36:54,0.6272727272727273,2.0,2.096022721552023,2.142474458058313,162.59267064305197,151.55853513108462
2020-06-02 19:36:55,0.2888888888888889,1.7444444444444445,1.7681960922722928,1.4133354980841584,170.59964319311175,129.4543418902891
2020-06-02 19:36:56,2.0799999999999996,2.0100000000000002,2.8921834116843432,1.910691405114617,134.01865054696066,160.20004789061682
2020-06-02 19:36:57,1.8800000000000001,3.7300000000000004,4.176398588484467,2.0821412783160955,153.27520613865525,152.47384869267287
2020-06-02 19:36:58,1.4899999999999998,3.96,4.230622136013753,1.9884413541494927,159.4063894744989,146.93937389193198
2020-06-02 19:36:59,1.7,4.27,4.595383258665209,2.1552738786803403,158.3218935519816,157.77818877461138
2020-06-02 19:37:00,1.56,3.31,3.6588238478370476,2.187982665563261,154.7846743183235,145.84826300048584
2020-06-02 19:37:01,1.5699999999999998,2.9600000000000004,3.3502696329149058,2.4501261204321145,152.07345265505006,170.75305195375725
2020-06-02 19:37:02,1.7200000000000002,3.3,3.720904163756268,1.8921397046370805,152.48985535955325,153.4893263259057
2020-06-02 19:37:03,1.9,4.209999999999999,4.618181493189443,1.8146515224380264,155.74085751573773,119.36641058665035
2020-06-02 19:37:04,1.5199999999999998,3.939999999999999,4.222600727723462,1.5117963712842737,158.92987768918428,116.7890257196316
2020-06-02 19:37:05,0.9500000000000002,4.04,4.150012503633313,1.8084492449257683,166.78738425468023,116.38610412273995
2020-06-02 19:37:06,1.1199999999999999,3.75,3.9134522217928764,1.4781051670797405,163.39131157322865,129.84677510870964
2020-06-02 19:37:07,1.37,4.119999999999999,4.341435684211668,1.886476436229621,161.63309953443388,154.56513458465074
2020-06-02 19:37:08,1.27,4.0,4.1964602586906645,2.313846725004013,162.40951391375998,152.7596576298937
2020-06-02 19:37:09,1.38,2.9599999999999995,3.265624808886012,2.551845011182352,155.01958999281356,136.73884847652232
2020-06-02 19:37:10,2.38,3.88,4.550839229549963,3.2460039044093056,148.49934016661413,147.43085130589648
2020-06-02 19:37:11,1.97,2.45,3.143411229952892,3.023177739879177,141.20390934660304,116.27173063627805
2020-06-02 19:37:12,2.0900000000000003,2.5900000000000003,3.327645423756959,3.094679643040157,141.10487017083153,132.4287148652395
2020-06-02 19:37:13,2.3600000000000003,2.4099999999999993,3.372597600123628,2.6419571377227977,135.6012568728241,153.7147794649305
2020-06-02 19:37:14,1.69,2.52,3.03391792933798,2.3233193281734312,146.16222408719528,143.6053924877422
2020-06-02 19:37:15,1.6199999999999999,2.55,3.020789118268149,2.4002357842800923,147.58266268832847,118.32786568695579
2020-06-02 19:37:16,1.2200000000000002,2.15,2.471882139366473,2.3388657507104207,150.43543840134768,131.15878947607212
2020-06-02 19:37:17,0.34,2.06,2.0878577979673616,2.0986325329290714,170.6317663690801,143.04265655775743
2020-06-02 19:37:18,1.7600000000000002,1.7899999999999998,2.5101179440456947,2.0552070082764398,135.4844880509468,164.5230817880973
2020-06-02 19:37:19,1.8299999999999996,2.2600000000000002,2.907707497466003,1.7439315622649203,141.00672054483394,154.1552743953036
2020-06-02 19:37:20,1.22,1.4000000000000001,1.8569070420403757,2.5294889792336934,138.93153481398065,160.70774797601877
2020-06-02 19:37:21,-0.15000000000000002,2.69,2.694175841652953,2.4504664027601244,183.18929338735074,152.09575896225255
2020-06-02 19:37:22,2.84,1.83,3.378129171876722,2.4731839854971556,122.7838604234085,134.854085766603
2020-06-02 19:37:23,0.68,4.49,4.541096018852266,2.175186875440216,171.40510687525241,117.25802135198157
2020-06-02 19:37:24,2.43,4.109999999999999,4.7735591722481505,2.1368262153963347,149.43472662657481,127.26193971711872
2020-06-02 19:37:25,2.35,3.8600000000000003,4.518156879228398,2.228571018191545,148.6908597657308,131.30475175283377
2020-06-02 19:37:26,1.7,4.35,4.669790655643364,2.8243819075643533,158.68586553727133,120.7706286612266
2020-06-02 19:37:27,1.95,3.7,4.18177144015566,3.2842437784097034,152.23330644471204,121.2496551717429
2020-06-02 19:37:28,1.8199999999999998,1.81,2.5665926780150268,3.3906935525158537,134.8420551460137,128.34033692743606
2020-06-02 19:37:29,1.37,2.1599999999999997,2.557657271284514,3.4899391682194136,147.62204951663188,128.81397884984597
2020-06-02 19:37:30,1.6900000000000002,2.43,2.9596093051711385,3.4367890320781256,145.1907387819484,126.95486736836578
2020-06-02 19:37:31,2.86,3.38,4.42656838783181,3.3429053631995322,139.7729629741636,117.13302047326988
2020-06-02 19:37:32,3.0,2.9400000000000004,4.199487849295932,3.3278187316473997,134.42023661940294,131.76414752587795
