index,solo_roll,solo_pitch,solo_tilt,solo_acc_x,solo_acc_y,solo_acc_z
921,-0.32,4.01,4.0227270290754005,0.8085798500000001,-0.085421765,-9.765528499999999
922,1.3499999999999999,4.663333333333333,4.854395072239526,0.6852385333333334,-0.11591205333333333,-9.828408999999999
923,0.19,4.545,4.548961337331441,0.77121815,-0.17158905,-9.820756
924,2.473333333333333,5.013333333333333,5.588852048044759,0.8071583000000001,-0.2650812333333334,-9.707811999999999
925,2.1,4.205,4.699372687420035,0.6553057,-0.3108338,-9.793725
926,1.6866666666666665,4.253333333333333,4.574982064417326,0.8293837666666666,-0.17382011666666666,-9.834177333333335
927,0.13,3.9000000000000004,3.90216271974796,0.90199045,-0.23943575000000006,-9.9316475
928,1.4133333333333333,5.260000000000001,5.446053252749659,0.7742839333333333,-0.16347636000000001,-9.861996333333332
929,1.24,3.9050000000000002,4.096857748321732,0.7239502,-0.271735,-10.07515
930,0.7466666666666666,3.986666666666667,4.055875023048177,0.7944892666666666,-0.2024435,-9.980692
931,0.76,4.26,4.327139384899569,0.7543011,-0.13102785,-9.7816045
932,1.4400000000000002,4.313333333333333,4.54692484210835,0.7102855333333332,-0.25977226666666664,-9.786609
933,1.37,3.855,4.090854658936093,0.6325535499999999,-0.27241,-9.785594499999998
934,1.6533333333333333,4.04,4.364696915128431,0.6638575666666666,-0.22101786666666667,-9.782626666666667
935,1.025,4.1,4.225971020476817,0.4730702,-0.18245350000000002,-9.711052
936,0.48333333333333334,2.653333333333333,2.6969653068725026,0.6901767333333334,-0.05819478,-9.923648
937,0.06,4.66,4.660385398071355,0.49790720000000005,-0.08121956999999999,-9.8338875
938,0.7300000000000001,3.716666666666667,3.7875801557060487,0.5021496999999999,-0.33009306666666666,-9.697728666666668
939,4.07,3.005,5.057640628990217,0.8349742499999999,-0.4116179,-10.226099999999999
940,2.35,2.9933333333333336,3.8049334583769805,0.5204430000000001,-0.4122204,-9.852308333333335
941,3.56,3.3099999999999996,4.8595878628602405,0.4108412,-0.41687169999999996,-9.7946645
942,2.2600000000000002,2.893333333333333,3.6707812539592175,0.4655938333333333,-0.39122419999999997,-10.011670333333333
943,1.045,3.09,3.261758122017846,0.61315805,-0.44982410000000006,-9.9777375
944,2.1566666666666667,3.9033333333333338,4.458702014342595,0.6946338333333332,-0.33487283333333334,-9.943341666666667
945,1.865,4.375,4.755216807358697,0.71624325,-0.3913379,-9.7088265
946,1.3433333333333335,2.963333333333333,3.2533489699991227,0.6061610000000001,-0.28848176666666664,-10.170233333333334
947,2.08,1.43,2.5239654437755,0.398547,-0.38863565,-9.696015
948,3.4966666666666666,3.606666666666667,5.021808900858871,0.36939759999999994,-0.3306462666666667,-9.670686000000002
949,1.135,3.05,3.2541524122773344,0.6161287,-0.43070564999999994,-9.931255
950,3.123333333333333,2.3366666666666664,3.899975924909373,0.48461893333333333,-0.5040042666666666,-9.779429
951,3.48,2.205,4.119034377878945,0.52995975,-0.44244720000000004,-9.8485025
952,1.3733333333333333,2.393333333333333,2.7591650470313067,0.5683605333333334,-0.15635296,-9.884838333333333
953,-0.72,4.75,4.804134864945839,0.5691824000000001,-0.29068755,-10.058305
954,2.3266666666666667,4.913333333333333,5.4351582096638555,0.7274466666666667,-0.33104229999999996,-10.112511333333332
955,2.66,3.87,4.6948626201327,0.8829673,-0.06537359,-9.813334
956,-2.1633333333333336,3.5700000000000003,4.173589885987328,0.7656908000000001,-0.12581657333333332,-9.795854
957,0.9349999999999999,2.84,2.9898342600173398,0.641408,-0.094839655,-9.5742115
958,2.8766666666666665,3.67,4.661843923270031,0.7034009333333332,-0.3088370333333333,-10.010081666666666
959,1.465,4.279999999999999,4.52334293278769,0.6785073500000001,-0.07607393,-9.9103795
960,-1.8833333333333335,4.043333333333333,4.459775613278416,0.7432907666666667,-0.17362326333333333,-9.723096666666667
961,3.9000000000000004,5.27,6.552859665986289,0.9273146999999999,-0.15586535,-9.8953965
962,1.486666666666667,5.676666666666667,5.8674939576813685,1.0217945333333334,-0.2422465,-10.069498333333334
963,0.935,6.8149999999999995,6.878540780553729,1.0023129000000002,-0.17759165,-9.775876
964,0.8466666666666667,6.166666666666667,6.2242953083050745,0.9002095666666667,-0.2668565333333333,-9.690208
965,1.82,5.41,5.7070701328683,0.9766437000000001,-0.08571226000000001,-9.756552
966,0.9966666666666667,6.38,6.4570608934946785,0.9105692666666666,-0.2783007,-9.896120999999999
967,2.04,4.55,4.985513757229522,0.91394965,-0.30576390000000003,-9.866318500000002
968,0.8433333333333333,5.506666666666667,5.5706730007890455,0.9118182666666668,-0.2909493666666667,-9.735601666666666
969,1.94,5.895,6.204944351653879,0.8437530499999999,-0.24897704999999998,-9.6358995
970,1.71,4.943333333333333,5.230046361364327,0.9009207666666667,-0.3375628,-9.736431333333334
971,2.515,5.0600000000000005,5.6491034881141795,0.861353,-0.43538255000000003,-9.933129000000001
972,2.4266666666666667,3.8866666666666667,4.581031819365187,0.7921222,-0.3466009666666667,-9.967212666666667
973,0.99,4.535,4.641581345176098,0.8595458,-0.3337469,-9.9651615
974,1.0166666666666666,4.8933333333333335,4.997580204635992,0.8418218333333334,-0.27177973333333333,-9.853888
975,1.9500000000000002,3.9250000000000003,4.382028585911869,0.8209983,-0.1907912,-9.764085
976,0.8033333333333332,4.25,4.325119697780256,0.7612814999999999,-0.21458096666666668,-9.852666000000001
977,0.14,4.62,4.622116128207479,0.7727802,-0.20396225,-9.780607499999999
978,1.2266666666666668,4.333333333333333,4.503289764713755,0.7556087000000001,-0.12373429666666667,-9.579675666666667
979,0.585,4.88,4.914854734542541,0.6524028,-0.1990185,-9.996180500000001
980,0.49,4.06,4.089412916391182,0.8259259,-0.11834353000000002,-9.861226333333333
981,0.6950000000000001,4.45,4.503837626668495,0.84084815,-0.1472564,-9.796240000000001
982,0.6666666666666666,4.296666666666667,4.347982915784659,0.8334360333333334,-0.20723466999999998,-9.968917666666666
983,0.085,3.49,3.4910336667267416,0.56947625,-0.078088777,-9.789228999999999
984,0.6266666666666666,3.3633333333333333,3.4211505436510725,0.6699235333333332,-0.020494340000000003,-9.793811666666668
985,-1.105,3.71,3.8708420249661386,0.7481476499999999,0.00959507,-10.106738
986,-0.4166666666666667,4.376666666666666,4.396417224895489,0.8594251333333333,-0.11220314666666666,-10.046821
